step,seed,avg_eval_return,var_eval_return,mean_eval_success
6000,1,342.37095243930816,751.992817458244,0.0
12000,1,1020.181383061409,43503.45499309692,0.0
18000,1,1156.7078907966613,11893.33113982009,0.0
24000,1,1449.5753703594207,916.0253341691359,0.0
30000,1,1433.197003698349,1073.2536399518006,0.0
36000,1,1310.205108833313,13798.113099273936,0.0
42000,1,1407.7723371505738,612.9897293330359,0.0
48000,1,1422.9287855625153,1541.592914980617,0.0
54000,1,1394.1481123447418,4068.299144103383,0.0
60000,1,1527.8325264930725,27106.49683434781,0.0
66000,1,1441.117080783844,14222.074214846858,0.0
72000,1,1397.0398337364197,1479.4964110752294,0.0
78000,1,1539.8608899593353,23688.25583987306,0.0
84000,1,1646.4336006641388,1970.5410641590665,0.0
90000,1,1519.4849093437194,96600.18293560273,0.4
96000,1,1803.2057341575623,134343.30070807255,0.4
102000,1,1948.38574924469,45783.328061437234,0.2
108000,1,1888.160830450058,120670.4913189112,0.8
114000,1,2264.6345011234284,121.99317523913867,1.0
120000,1,2234.079592227936,7831.505076020436,1.0
126000,1,1471.0906772136689,748.577843151544,0.0
132000,1,2041.916039085388,129770.21760341153,1.0
138000,1,1752.2415863037108,209766.08030428804,1.0
144000,1,1824.2434808254243,186761.6301947286,0.8
