step,seed,avg_eval_return,var_eval_return,num_evals_used,mean_eval_success
6000,456,118.56848559975624,997.1666519417637,5,0.0
12000,456,94.59901904463769,61.36429530658074,5,0.0
18000,456,286.55719885826113,101441.72233022236,5,0.2
24000,456,131.22017285823821,1008.443088639586,5,0.0
30000,456,1395.0854652047158,810160.8606928481,5,0.8
36000,456,1842.302535814047,962161.472431584,5,0.8
42000,456,626.7615870773792,1072159.3503954427,5,0.2
48000,456,769.4222801566124,902552.1229802333,5,0.6000000000000001
54000,456,800.1863432526588,925368.3146308766,5,0.4
60000,456,1488.0727339029313,1446313.8204561144,5,0.6000000000000001
66000,456,1289.5722440481186,777231.3914787865,5,0.8
72000,456,751.6101643443108,993604.1325445526,5,0.6000000000000001
78000,456,804.5557778835297,152939.65069322113,5,0.8
84000,456,293.7275844812393,100854.26237353838,5,0.2
90000,456,1138.4585603952407,883920.5537757152,5,0.6000000000000001
96000,456,150.61210763454437,1620.0591974019194,5,0.0
102000,456,538.3215082168579,821025.1998114131,5,0.2
108000,456,1204.26352545619,1119076.1888900956,5,0.8
114000,456,1482.6766083478929,877250.8162631543,5,1.0
120000,456,1448.1939489364624,1082057.1663605282,5,0.8
126000,456,1748.7762035667897,932938.2372191024,5,0.8
132000,456,1763.8012854576111,819727.735273331,5,0.8
138000,456,2102.4447578549384,112519.9445219476,5,1.0
144000,456,1903.5190336942674,495252.7073556301,5,1.0
