step,num_seeds,mean_eval_return,std_eval_return,min_eval_return,max_eval_return,mean_eval_success,std_eval_success,min_eval_success,max_eval_success
6000,4,342.37095243930816,0.0,342.37095243930816,342.37095243930816,0.0,0.0,0.0,0.0
12000,4,1178.9719270765781,153.66508164440648,1020.181383061409,1357.7364916324616,0.0,0.0,0.0,0.0
18000,4,1240.7779349327088,162.9408606304021,1063.4888141155243,1430.5999765872955,0.0,0.0,0.0,0.0
24000,4,1366.232042992115,135.74407127211938,1167.9827453136445,1458.5330797672273,0.05,0.1,0.0,0.2
30000,4,1408.7741409540176,22.85163911840524,1388.663939809799,1433.197003698349,0.2,0.4,0.0,0.8
36000,4,1527.7541043996812,193.96463554098932,1310.205108833313,1774.2009454727172,0.25,0.5,0.0,1.0
42000,4,1582.4723608255385,273.6761690130819,1383.859508228302,1975.3417000770569,0.25,0.5,0.0,1.0
48000,4,1576.9211501836778,206.49591650699557,1422.9287855625153,1874.3561961650848,0.25,0.5,0.0,1.0
54000,4,1673.9540601611136,432.04332179432606,1394.1481123447418,2310.2144966602327,0.2,0.4,0.0,0.8
60000,4,1658.878567135334,283.0863467358248,1461.3337062358855,2078.3510270595552,0.25,0.5,0.0,1.0
66000,4,1649.620145177841,389.56689787696564,1367.7314651489257,2220.4771268844606,0.2,0.4,0.0,0.8
72000,4,1661.6021802306177,457.317040232724,1364.8040481567382,2337.1060928344727,0.05,0.1,0.0,0.2
78000,4,1589.3344768881798,506.28494953687436,1123.3079024791718,2303.4148865699767,0.2,0.4,0.0,0.8
84000,4,1658.4057741165163,432.90038353433715,1159.6427573204041,2216.1598182201387,0.25,0.5,0.0,1.0
90000,4,1371.7697149395942,271.9040595164669,987.3475317001343,1600.0781088352203,0.1,0.20000000000000004,0.0,0.4
96000,4,1740.3618206858632,362.06126793548253,1445.6957463264466,2227.4984897136687,0.30000000000000004,0.38297084310253526,0.0,0.8
102000,4,1754.3628649353982,332.8974108191474,1374.9094833374024,2105.573834323883,0.3,0.4760952285695233,0.0,1.0
108000,4,1585.41903578043,691.0446919137963,678.3343424797058,2297.198769950867,0.4,0.46188021535170065,0.0,0.8
114000,4,1920.1708016753196,441.2169957619253,1492.2239632606506,2335.2345229625703,0.45,0.5259911279353168,0.0,1.0
120000,4,1873.6805688858033,442.9194726686919,1469.8943563461303,2279.2107121944427,0.5,0.5773502691896257,0.0,1.0
126000,4,1768.1315794110299,510.74319651221924,1471.0906772136689,2532.7183863162995,0.1,0.2,0.0,0.4
132000,4,1923.518782567978,459.680992018239,1536.2773863315583,2523.670091485977,0.5,0.5773502691896257,0.0,1.0
138000,4,1840.7275130152702,414.05475470620763,1578.905304813385,2449.808703994751,0.5,0.5773502691896257,0.0,1.0
144000,4,1820.3598313808443,480.2298898955658,1472.6356971263885,2498.1565140724183,0.45,0.5259911279353168,0.0,1.0
