step,num_seeds,mean_eval_return,std_eval_return,min_eval_return,max_eval_return,mean_eval_success,std_eval_success,min_eval_success,max_eval_success
6000,4,113.55481166067334,208.24567814808702,1.3764213101015366,425.8051167349331,0.15000000000000002,0.30000000000000004,0.0,0.6000000000000001
12000,4,1403.6668983087402,1621.282124279066,0.0,2855.0,0.5,0.5773502691896257,0.0,1.0
18000,4,2105.9431384853624,1405.8923635082874,0.0,2860.0,0.7,0.4760952285695233,0.0,1.0
24000,4,2000.4802368958217,1360.4160228478495,1.0178659575869942,2860.9030816257,0.75,0.5,0.0,1.0
30000,4,2329.2870769426227,1036.2430750067729,775.0,2860.0,0.85,0.3,0.4,1.0
36000,4,2141.1395265377496,504.67390677587844,1542.5,2777.5,0.9,0.19999999999999996,0.6000000000000001,1.0
42000,4,2528.238141214474,411.9706051544132,1965.0606174319785,2860.0,0.95,0.09999999999999998,0.8,1.0
48000,4,2525.5167861431337,619.2143085454125,1597.368258192936,2860.0,0.9,0.19999999999999996,0.6000000000000001,1.0
54000,4,2767.9353668652475,93.89458031002252,2657.5,2851.6309593841434,1.0,0.0,1.0,1.0
60000,4,2814.7965308114435,49.042877007704725,2765.392908969341,2860.0,1.0,0.0,1.0,1.0
66000,4,2189.502117319655,695.9858847841854,1163.3672802803796,2647.5,1.0,0.0,1.0,1.0
72000,4,2339.2352536673425,989.6726973753641,855.0,2856.486555866897,0.85,0.3,0.4,1.0
78000,4,2223.524272199131,1169.2228790786671,470.0,2833.9637200420257,0.8,0.4,0.2,1.0
84000,4,2663.113846130056,259.09823228390275,2277.501977443695,2829.5955593958497,0.95,0.09999999999999998,0.8,1.0
90000,4,2220.0439944861428,783.5777604936751,1162.5,2834.3980153501034,0.8,0.23094010767585024,0.6000000000000001,1.0
96000,4,2708.659609551375,223.15954117274984,2377.5,2857.3621703237295,1.0,0.0,1.0,1.0
102000,4,2812.2246064431465,54.30752188519972,2748.9354815225693,2859.9131871908903,1.0,0.0,1.0,1.0
108000,4,2796.74613246409,68.93804678658317,2700.616202428937,2855.0,1.0,0.0,1.0,1.0
114000,4,2763.3111456775086,110.80268948491954,2600.369007951569,2845.6545478999615,1.0,0.0,1.0,1.0
120000,4,2751.9647933445694,128.66078453818096,2564.201778541213,2840.0,1.0,0.0,1.0,1.0
126000,4,2716.1671555414823,174.12590083425496,2457.5,2832.6312633752823,1.0,0.0,1.0,1.0
132000,4,2810.0225546317342,17.12897957540498,2792.5,2831.427390353754,1.0,0.0,1.0,1.0
138000,4,2681.406929262913,236.74308985832516,2332.5274382907037,2857.5,1.0,0.0,1.0,1.0
144000,4,2831.1473733694984,28.111339068392635,2792.6020686638512,2857.5,1.0,0.0,1.0,1.0
