step,seed,avg_eval_return,var_eval_return,num_evals_used,mean_eval_success
6000,789,284.2228944063187,100.91773951714202,5,0.0
12000,789,971.3699046134949,14174.141422157285,5,0.0
18000,789,1190.0852171421052,71355.61699070367,5,0.0
24000,789,1518.4325824737548,7305.921187952467,5,0.0
30000,789,1369.0352271556853,54472.096223114844,5,0.0
36000,789,1408.6068048000336,54197.485587465235,5,0.4
42000,789,1361.1674505233764,59748.60423357041,5,0.0
48000,789,1533.2374508857727,114.87545544125676,5,0.0
54000,789,1526.70208735466,26280.205680911273,5,0.0
60000,789,1630.5215919494628,27433.216527540346,5,0.4
66000,789,1444.5618490695954,41596.463032931504,5,0.2
72000,789,1460.6856016635895,17861.508627931034,5,0.0
78000,789,1537.7482677459716,13402.70524823892,5,0.0
84000,789,1383.2888213157653,17880.377387182307,5,0.2
90000,789,1717.5712767124176,19492.272597343253,5,0.2
96000,789,1588.7761690616608,24224.64796575295,5,0.0
102000,789,1545.0313524723053,11018.205638489877,5,0.2
108000,789,1589.3771513462066,2264.6566344406965,5,0.0
114000,789,1558.3261691570283,29259.095156763997,5,0.0
120000,789,2050.274968099594,61958.707546663725,5,0.4
126000,789,1930.8938758850097,239189.9746610928,5,0.4
132000,789,1874.6099435329438,54848.05002544305,5,0.0
138000,789,1952.6994017124175,229108.43806228915,5,0.4
144000,789,2073.546556663513,20982.364356078055,5,0.2
