step,num_seeds,mean_eval_return,std_eval_return,min_eval_return,max_eval_return,mean_eval_success,std_eval_success,min_eval_success,max_eval_success
6000,5,375.12034533023837,133.889748806139,284.2228944063187,608.8678003311157,0.0,0.0,0.0,0.0
12000,5,771.6641284132004,363.42024073493843,370.2834935903549,1099.249104976654,0.0,0.0,0.0,0.0
18000,5,1123.2222334194182,231.20171673292108,741.8538669586181,1346.9526051521302,0.12000000000000002,0.26832815729997483,0.0,0.6000000000000001
24000,5,1327.0082636356356,234.24286575992795,936.4957067012787,1518.4325824737548,0.0,0.0,0.0,0.0
30000,5,1374.10530081749,78.98105883478117,1296.10613155365,1496.4034060001372,0.0,0.0,0.0,0.0
36000,5,1396.4101485729218,47.40290507739664,1336.4422436237335,1444.1102805137634,0.08,0.17888543819998318,0.0,0.4
42000,5,1427.59173869133,49.731856124803556,1361.1674505233764,1482.7391320705415,0.0,0.0,0.0,0.0
48000,5,1464.588611125946,66.60458945856135,1384.6938438892364,1533.2374508857727,0.0,0.0,0.0,0.0
54000,5,1465.0622970104216,42.6689671762576,1414.869516324997,1526.70208735466,0.0,0.0,0.0,0.0
60000,5,1510.3889178466798,106.28428583668898,1387.377292919159,1630.5215919494628,0.08,0.17888543819998318,0.0,0.4
66000,5,1477.7644394874574,96.38328471596317,1369.3325909614564,1597.2860151290893,0.04,0.08944271909999159,0.0,0.2
72000,5,1432.620110578537,141.9579386781137,1183.7644652843476,1538.5959558963775,0.0,0.0,0.0,0.0
78000,5,1500.8082310009002,57.24827355671571,1429.0285974979402,1554.9760534763336,0.0,0.0,0.0,0.0
84000,5,1487.3386973381043,114.29751895848537,1383.2888213157653,1676.939090013504,0.12000000000000002,0.1788854381999832,0.0,0.4
90000,5,1605.937796754837,353.12781739428345,1230.967941236496,2147.556273365021,0.24,0.433589667773576,0.0,1.0
96000,5,1661.6796446037292,240.6557372095293,1450.713714504242,2075.9366050720214,0.2,0.44721359549995804,0.0,1.0
102000,5,1718.6294047260285,389.43969268864,1442.8067146301269,2378.350751209259,0.24,0.433589667773576,0.0,1.0
108000,5,1701.4512719678878,339.10505962912083,1313.039891886711,2237.6033400058745,0.2,0.44721359549995804,0.0,1.0
114000,5,1732.4310898208619,328.4592657808599,1464.3185634613037,2292.6253346443177,0.24,0.433589667773576,0.0,1.0
120000,5,1860.5130837345125,343.6946068803056,1508.5680777549744,2288.166052246094,0.2,0.28284271247461906,0.0,0.6000000000000001
126000,5,1799.6253938961029,356.27360572232857,1463.6466015338897,2349.1524044513703,0.27999999999999997,0.4381780460041329,0.0,1.0
132000,5,1815.9043916893006,475.227200951371,1299.9616361141204,2524.381308507919,0.2,0.44721359549995804,0.0,1.0
138000,5,1761.3165123653412,325.70565182330444,1372.3865288734437,2167.6187444210054,0.27999999999999997,0.4381780460041329,0.0,1.0
144000,5,1696.3109474945068,596.3059976789725,911.631815958023,2467.0828635215757,0.2,0.3464101615137755,0.0,0.8
