step,num_seeds,mean_eval_return,std_eval_return,min_eval_return,max_eval_return,mean_eval_success,std_eval_success,min_eval_success,max_eval_success
6000,4,594.954964825297,790.0626605341657,2.0925169826914103,1673.3316578097272,0.25,0.37859388972001823,0.0,0.8
12000,4,2837.9615848843387,32.43070469131437,2790.0,2860.0,1.0,0.0,1.0,1.0
18000,4,2814.0324230067517,49.94170922011103,2748.629692027008,2860.0,0.8999999999999999,0.11547005383792512,0.8,1.0
24000,4,2658.4324746388247,376.0205911479078,2094.8734904509984,2860.7932103425264,0.9,0.19999999999999996,0.6000000000000001,1.0
30000,4,2765.451035256652,149.47091633376294,2543.049506047984,2861.220403842628,1.0,0.0,1.0,1.0
36000,4,2265.2639071816366,1153.1981449933644,535.5911386337539,2860.2380307912827,0.8,0.4,0.2,1.0
42000,4,2377.2030653281245,570.3581461797298,1711.286596635775,2860.0,1.0,0.0,1.0,1.0
48000,4,2592.6439126441246,313.5317596233698,2197.9936997750715,2860.7345813661814,1.0,0.0,1.0,1.0
54000,4,2813.4927923814157,74.40385505595141,2703.884755948464,2860.0,1.0,0.0,1.0,1.0
60000,4,2817.2031313505904,55.032804179830116,2735.0538562954234,2852.237082634121,1.0,0.0,1.0,1.0
66000,4,2694.904196238505,195.75956546020572,2431.676890399176,2847.1296379305422,1.0,0.0,1.0,1.0
72000,4,2827.527795802802,19.526567921607864,2803.4409481436014,2845.2421812415123,1.0,0.0,1.0,1.0
78000,4,2782.6305163110596,62.8807074135799,2718.357220977545,2851.8379825800657,0.95,0.09999999999999998,0.8,1.0
84000,4,2828.056171733886,34.933714193059195,2776.669409632683,2854.514835983515,0.95,0.09999999999999998,0.8,1.0
90000,4,2838.010827326565,9.908353143245098,2830.435926437378,2851.9216912142,1.0,0.0,1.0,1.0
96000,4,2837.5096443854272,28.98708921280795,2795.2542077302933,2857.7236897796392,1.0,0.0,1.0,1.0
102000,4,2799.7908222302794,95.98959310733225,2657.5,2860.0,1.0,0.0,1.0,1.0
108000,4,2830.5762249203062,27.739874988726168,2805.864003930106,2857.8930338174105,1.0,0.0,1.0,1.0
114000,4,2844.337852898985,14.634072032309671,2822.7528126239777,2855.1711268126965,1.0,0.0,1.0,1.0
120000,4,2847.7116615658524,22.19346442507874,2814.5713514081726,2860.2670595645905,1.0,0.0,1.0,1.0
126000,4,2850.8770058693126,6.751041368782008,2841.8542965791166,2858.134137235582,1.0,0.0,1.0,1.0
132000,4,2855.05540689826,6.798160953711428,2845.0,2860.0,1.0,0.0,1.0,1.0
138000,4,2847.4520949609578,7.7629564629155,2840.0,2855.4267116338015,1.0,0.0,1.0,1.0
144000,4,2814.4415706459113,83.01572662874827,2690.0006516231815,2860.0,1.0,0.0,1.0,1.0
