step,seed,avg_eval_return,var_eval_return,num_evals_used,removed_lowest_score,mean_eval_success
6000,2024,1673.3316578097272,1764348.6823157426,4,29.748774483560396,0.8
12000,2024,2846.8463395373547,43.2042721308112,4,2841.812622903757,1.0
18000,2024,2748.629692027008,6180.306288949876,4,3.147967281680222,0.8
24000,2024,2094.8734904509984,1942494.1061958754,4,3.4474036342136563,0.6000000000000001
30000,2024,2815.1179345803366,965.4278188233403,4,2050.2990811821073,1.0
36000,2024,2826.8999374776895,784.0806322216769,4,2741.8438123500673,1.0
42000,2024,1711.286596635775,38123.465349845064,4,1483.0614630404189,1.0
48000,2024,2483.7661455321386,182467.24601442282,4,1701.4730574466412,1.0
54000,2024,2859.8773166686296,35.31373648301786,4,2043.5077175572515,1.0
60000,2024,2852.237082634121,51.73926807350117,4,2500.6308007240295,1.0
66000,2024,2431.676890399176,79016.25391868476,4,2084.620155010365,1.0
72000,2024,2820.0,6400.0,4,2652.716715812683,1.0
78000,2024,2741.89433631077,17839.04218251941,4,2604.3155805980205,1.0
84000,2024,2838.3147844672203,164.11351713085136,4,1982.367035150528,1.0
90000,2024,2831.4104330539703,103.6754680647551,4,2808.253024816513,1.0
96000,2024,2842.0606800317764,4.140828272511707,4,2832.355184853077,1.0
102000,2024,2826.663288921118,519.0575522624238,4,62.72440832099768,1.0
108000,2024,2805.864003930106,564.1677277829905,4,2762.8430582284927,1.0
114000,2024,2850.5486508756876,736.2424433670272,4,2674.061690926552,1.0
120000,2024,2814.5713514081726,2854.5082073788035,4,2254.1396350860596,1.0
126000,2024,2841.8542965791166,716.1081838200074,4,2787.736759185791,1.0
132000,2024,2860.0,0.0,4,2800.664408802986,1.0
138000,2024,2841.6444057822227,318.59963616538045,4,2815.553269267082,1.0
144000,2024,2690.0006516231815,61666.04111011065,4,1510.0,1.0
